frame,frameTime,fps,cpuFrameTime,mainThreadTime,gpuFrameTime,drawCalls,batches,setPassCalls,triangles,gcAlloc,totalMemory,vramUsage,shadowCasters,savedByBatching
24,205.967113375664,4.85514402571685,0,205.9771,205.775872,63018,54328,205,1078313364,0.0617132186889648,7394.8869638443,3522.29960346222,32000,0
25,206.446692347527,4.84386544840655,0,205.7835,206.128128,63963,55757,205,1098920893,0.0586423873901367,7394.93269062042,3522.32993030548,32000,0
26,207.221105694771,4.82576326695681,0,207.3506,206.077952,62852,53793,205,1115430082,0.0670537948608398,7395.05960559845,3522.36262226105,32000,0
27,206.729501485825,4.83723896595653,0,206.7296,205.438976,63120,54555,205,1084456741,0.0586423873901367,7395.12148189545,3522.39294910431,32000,0
28,206.850901246071,4.83440001458053,0,210.2251,205.924352,64501,56200,205,1120617470,0.061030387878418,7395.26939296722,3522.46973896027,32000,0
29,225.302904844284,4.43846918303668,0,204.5943,206.631936,69014,62701,212,1167139081,0.0587186813354492,7402.85289001465,3522.53147602081,40072,0
30,235.361397266388,4.24878510925976,0,224.6134,206.365696,74157,62800,210,1225960438,0.061030387878418,7403.45875644684,3522.59914875031,44838,0
31,240.938395261765,4.15043853393961,0,235.6731,206.507008,77138,65829,216,1263263983,0.0587186813354492,7395.81448936462,3522.66021442413,47512,0
32,246.677607297897,4.05387424887887,0,241.4051,224.919552,76224,64352,216,1253525464,0.061030387878418,7403.75555324554,3522.66216754913,48996,0
33,250.414311885834,3.99338197752814,0,246.8724,234.979328,80296,70853,216,1430044809,0.0660734176635742,7396.06186580658,3522.72311878204,49960,0
34,250.335097312927,3.99464561994664,0,249.1334,240.508928,77270,65144,215,1315426938,0.061030387878418,7396.12462997437,3522.67768573761,50423,0
35,253.495395183563,3.94484483347665,0,250.6806,246.23616,78290,67905,215,1409548621,0.0587186813354492,7396.31954193115,3522.78625202179,50596,0
36,253.793895244598,3.94020509845689,0,253.8062,249.73312,79210,68495,215,1405291260,0.061030387878418,7396.32334899902,3522.74070453644,50586,0
37,253.496408462524,3.94482906509437,0,253.3653,249.913344,78938,68950,214,1377664324,0.0587186813354492,7396.52938461304,3522.84927082062,50304,0
38,254.89729642868,3.92314871130772,0,252.8639,253.04064,74305,61617,209,1365189540,0.061030387878418,7396.59695053101,3522.80372333527,49841,0
39,253.134608268738,3.95046732977089,0,255.6581,253.371392,76630,66380,211,1339493496,0.0587186813354492,7396.76132583618,3522.91228961945,49314,0
40,253.148406744003,3.95025199985261,0,252.9213,253.06112,74990,63953,210,1354305804,0.061030387878418,7396.71984672546,3522.86674213409,48621,0
41,252.479612827301,3.96071583286216,0,252.2077,254.196736,76318,66858,218,1409198931,0.0587186813354492,7396.8783416748,3522.97530841827,47871,0
42,252.475708723068,3.96077707854606,0,253.5316,252.70784,70118,60074,222,1294529383,0.061030387878418,7396.93525123596,3522.92976093292,46978,0
43,249.627903103828,4.0059624247377,0,251.4969,252.730368,72416,61629,228,1398024416,0.0587186813354492,7397.13422966003,3523.0383272171,45909,0
